name,argument,role,value_types
boxchart,cgroupdata,Color grouping variable,"numeric vector, categorical vector, logical vector, string array, character vector, cell array of character vectors"
boxchart,xgroupdata,Positional grouping variable,"numeric vector, categorical vector"
boxchart,ydata,Sample data,"numeric vector, numeric matrix"
brighten,beta,Brightness adjustment,numeric scalar value
brighten,f,Figure,Figure object
brighten,map,Colormap,three-column matrix of RGB triplets
bsxfun,"A,B",Input arrays,"scalars, vectors, matrices, multidimensional arrays"
bsxfun,fun,Binary function to apply,function handle
bubblechart,ax,Target axes,"Axes object, PolarAxes object, GeographicAxes object"
bubblechart,c,Bubble color,"[0 0.4470 0.7410], RGB triplet, color name, hexadecimal color code, three-column matrix of RGB triplets, vector"
bubblechart,cvar,Table variables for bubble colors,one or more table variable indices
bubblechart,sizevar,Table variables for bubble sizes,one or more table variable indices
bubblechart,sz,Bubble sizes,"scalar, vector"
bubblechart,tbl,Source table,"table, timetable"
bubblechart,x,x-coordinates,"scalar, vector"
bubblechart,xvar,Table variables containing x-coordinates,one or more table variable indices
bubblechart,y,y-coordinates,"scalar, vector"
bubblechart,yvar,Table variables containing y-coordinates,one or more table variable indices
bubblechart3,ax,Target axes,Axes object
bubblechart3,c,Bubble color,"[0 0.4470 0.7410], RGB triplet, color name, hexadecimal color code, three-column matrix of RGB triplets, vector"
bubblechart3,cvar,Table variables for bubble colors,one or more table variable indices
bubblechart3,sizevar,Table variables for bubble sizes,one or more table variable indices
bubblechart3,sz,Bubble sizes,"scalar, vector"
bubblechart3,tbl,Source table,"table, timetable"
bubblechart3,x,x-coordinates,"scalar, vector"
bubblechart3,xvar,Table variables containing x-coordinates,one or more table variable indices
bubblechart3,y,y-coordinates,"scalar, vector"
bubblechart3,yvar,Table variables containing y-coordinates,one or more table variable indices
bubblechart3,z,z-coordinates,"scalar, vector"
bubblechart3,zvar,Table variables containing z-coordinates,one or more table variable indices
bubblecloud,groups,Bubble groups vector,"cell array of character vectors, string vector, categorical vector, logical vector"
bubblecloud,groupvar,Table variable for bubble groups,"variable name, variable index, logical vector"
bubblecloud,labels,Bubble labels vector,"cell array of character vectors, string vector"
bubblecloud,labelvar,Table variable for bubble labels,"variable name, variable index, logical vector"
bubblecloud,sz,Bubble size vector,numeric vector
bubblecloud,szvar,Table variable for bubble sizes,"variable name, variable index, logical vector"
bubblecloud,tbl,Table containing bubble data,"table, timetable"
bubblelegend,ax,Target axes,"Axes object, PolarAxes object, GeographicAxes object"
