name,section,kind,forms
extendsigroi,Measurements and Feature Extraction,function,"ROILIMSOUT = extendsigroi(ROILIMS,SL,SR);roiMatrixExtended = extendsigroi(roiMatrix,2,2);roiMatrix = extendsigroi(roiMatrix,0,5)"
extract_phase,unlisted,function,
extractsigroi,Measurements and Feature Extraction,function,"SIGROI = extractsigroi(X,ROILIMS);sigCell = extractsigroi(x,roiMatrix);sigVect = extractsigroi(x,roiMatrix,true)"
falltime,Measurements and Feature Extraction,function,"F = FALLTIME(X);F = FALLTIME(X,Fs);F = FALLTIME(X,T);F = FALLTIME(...,'Tolerance',TOL);F = FALLTIME(...,'PercentReferenceLevels',PRL);F = FALLTIME(...,'StateLevels',SL);[F,LT,UT] = FALLTIME(...);[F,LT,UT,LL,UL] = FALLTIME(...);FALLTIME(...);falltime(x, t);y = falltime(x, 4e6)"
fastreshape,unlisted,function,"FASTRESHAPE(HOBJ, H, FS, UC, NFFT)"
fdesign,unlisted,function,
fftfilt,Digital Filtering,function,"Y = FFTFILT(B,X);Y = FFTFILT(B,X,N);Y = FFTFILT(D,X,...);y = fftfilt(b,x);y = fftfilt(D,data)"
fillgaps,Multirate Signal Processing,function,"Y = FILLGAPS(X);Y = FILLGAPS(X, MAXLEN);Y = FILLGAPS(X, MAXLEN, ORDER);FILLGAPS(...);fillgaps(x)"
filt2block,Digital Filter Design,function,"FILT2BLOCK(B);FILT2BLOCK(B,'subsystem');FILT2BLOCK(B,...,'FilterStructure',STRUCT);FILT2BLOCK(B,A);FILT2BLOCK(B,A,'subsystem');FILT2BLOCK(B,A,...,'FilterStructure',STRUCT);FILT2BLOCK(SOS);FILT2BLOCK(SOS,'subsystem');FILT2BLOCK(SOS,...,'FilterStructure',STRUCT);FILT2BLOCK(D);FILT2BLOCK(D,'subsystem');FILT2BLOCK(D,...,'FilterStructure',STRUCT);FILT2BLOCK(..., PARAMETER1, VALUE1, PARAMETER2, VALUE2, ...);filt2block(B,A,'BlockName','Lowpass IIR')"
filtdes,unlisted,class,
filterAnalysisOptions,unlisted,class,
filternorm,Digital Filter Analysis,function,"FILTERNORM(B,A);FILTERNORM(B,A,PNORM);FILTERNORM(...,TOL);L2 = filternorm(b,a,2,1e-10);Linf = filternorm(b,1,inf)"
filtfilt,Digital Filtering,function,"Y = FILTFILT(B,A,X);Y = FILTFILT(SOS,G,X);Y = FILTFILT(D,X);y = filtfilt(b,a,x);y = filtfilt(D,x)"
filtgraph,unlisted,class,
filtic,Digital Filtering,function,"Z = filtic(B, A, Y, X);Z = filtic(B, A, Y);xic = filtic(b,a,Y)"
filtord,Digital Filter Analysis,function,"N = FILTORD(B,A);N = FILTORD(SOS);N = FILTORD(D);n = filtord(b);n = filtord(SOS);n = filtord(D)"
filtstates,unlisted,class,
findchangepts,Measurements and Feature Extraction,function,"IPOINT = FINDCHANGEPTS(X);IPOINTS = FINDCHANGEPTS(..., 'MaxNumChanges', Kmax);IPOINTS = FINDCHANGEPTS(..., 'Statistic', STAT);IPOINTS = FINDCHANGEPTS(..., 'MinDistance', Lmin);IPOINTS = FINDCHANGEPTS(..., 'MinThreshold', BETA);[IPOINTS, RESIDUAL] = FINDCHANGEPTS(...);FINDCHANGEPTS(...);findchangepts(x);findchangepts(x,'Statistic','linear','MaxNumChanges',12);findchangepts(x,'Statistic','linear','MinThreshold',var(x));findchangepts(x,'MaxNumChanges',20);findchangepts(x,'Statistic','linear','MaxNumChanges',100);findchangepts(pow2db(Pxx),'MaxNumChanges',10)"
finddelay,Correlation and Convolution,function,"D = FINDDELAY(X,Y);FINDDELAY(X,Y);D = FINDDELAY(...,MAXLAG);D = finddelay(X,Y);D = finddelay(X,Y,MAXLAG)"
findfreqvector,unlisted,function,
findpeaks,Measurements and Feature Extraction,function,"PKS = FINDPEAKS(Y);[PKS,LOCS] = FINDPEAKS(Y);[PKS,LOCS] = FINDPEAKS(Y,X);[PKS,LOCS] = FINDPEAKS(Y,Fs);[...] = FINDPEAKS(...,'MinPeakHeight',MPH);[...] = FINDPEAKS(...,'MinPeakProminence',MPP);[...] = FINDPEAKS(...,'Threshold',TH);FINDPEAKS(...,'WidthReference',WR);[...] = FINDPEAKS(...,'MinPeakWidth',MINW);[...] = FINDPEAKS(...,'MaxPeakWidth',MAXW);[...] = FINDPEAKS(...,'MinPeakDistance',MPD);[...] = FINDPEAKS(...,'SortStr',DIR);[...] = FINDPEAKS(...,'NPeaks',NP);[PKS,LOCS,W] = FINDPEAKS(...);[PKS,LOCS,W,P] = FINDPEAKS(...);FINDPEAKS(...);FINDPEAKS(...,'Annotate',PLOTSTYLE);findpeaks(sunspot(:,2),sunspot(:,1),'MinPeakDistance',6);findpeaks(mtlb,Fs,'MinPeakProminence',1)"
findsignal,Correlation and Convolution,function,"[ISTART,ISTOP] = FINDSIGNAL(DATA,SIGNAL);[ISTART,ISTOP,DIST] = FINDSIGNAL(DATA,SIGNAL);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'Normalization',NSTAT);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'NormalizationLength',NLENGTH);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'MaxDistance',MAXDIST);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'MaxNumSegments',MAXSEG);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'TimeAlignment',ALIGN);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'EDRTolerance',TOL);[ISTART,ISTOP,DIST] = FINDSIGNAL(...,'Metric',METRIC);FINDSIGNAL(...);FINDSIGNAL(...,'Annotate',PLOTSTYLE);findsignal(data,signal);findsignal(MATLAB1,letterA,'MaxNumSegments',2)"
fir1,Digital Filter Design,function,"B = FIR1(N,Wn);B = FIR1(N,Wn,'high');B = FIR1(N,Wn,'low');B = FIR1(N,Wn,'bandpass');B = FIR1(N,Wn,'stop');B = FIR1(N,Wn,'DC-1');B = FIR1(N,Wn,'DC-0');B = FIR1(N,Wn,WIN);B = FIR1(N,Wn,kaiser(N+1,4));B = FIR1(N,Wn,'high',chebwin(N+1,R));B = FIR1(N,Wn,'noscale');B = FIR1(N,Wn,'high','noscale');B = FIR1(N,Wn,wind,'noscale');FIR1(N,Wn,'scale');b = fir1(48,[0.35 0.65]);b = fir1(34,0.48,'high',chebwin(35,30))"
fir2,Digital Filter Design,function,"B = FIR2(N,F,A);B = FIR2(N,F,A,NPT);B = FIR2(N,F,A,NPT,LAP);B = FIR2(N,F,A,bartlett(N+1));B = FIR2(N,F,A,chebwin(N+1,R));b = fir2(30,f,m);b = fir2(34,f,m)"
