name,folder,form_index,syntax,verdict,detail
interp3,polyfun,1,"Vq = interp3(V,Xq,Yq,Zq)",unprobed,no sample for this form's arguments
interp3,polyfun,2,Vq = interp3(V),error,"interp3 expects between 4 and 8 argument(s), but got 1."
interp3,polyfun,3,"Vq = interp3(V,k)",error,"interp3 expects between 4 and 8 argument(s), but got 2."
interp3,polyfun,4,"Vq = interp3(___,method)",error,"interp3 expects between 4 and 8 argument(s), but got 2."
interp3,polyfun,5,"Vq = interp3(___,method,extrapval)",error,"interp3 expects between 4 and 8 argument(s), but got 3."
polyfit,polyfun,0,"p = polyfit(x,y,n)",accepted,
polyfit,polyfun,1,"[p,S] = polyfit(x,y,n)",accepted,
polyfit,polyfun,2,"[p,S,mu] = polyfit(x,y,n)",accepted,
polyval,polyfun,0,"y = polyval(p,x)",accepted,
polyval,polyfun,1,"[y,delta] = polyval(p,x,S)",unprobed,no sample for this form's arguments
polyval,polyfun,2,"y = polyval(p,x,[],mu)",error,"polyval: mu is polyfit's [centre, scale] pair, so it holds two numbers."
polyval,polyfun,3,"[y,delta] = polyval(p,x,S,mu)",unprobed,no sample for this form's arguments
voronoin,polyfun,0,"[v,c] = voronoin(P)",error,voronoin: only 2-D point sets are supported — X must be an n-by-2 matrix.
voronoin,polyfun,1,"[v,c] = voronoin(P,opts)",error,"voronoin expects 1 argument(s), but got 2."
rng,randfun,0,rng(seed),accepted,
rng,randfun,1,"rng(seed,generator)",accepted,
rng,randfun,2,s = rng,accepted,
eigs,sparfun,0,d = eigs(A),error,"eigs expects 2 argument(s), but got 1."
eigs,sparfun,1,"d = eigs(A,k)",error,eigs needs a square matrix.
eigs,sparfun,2,"d = eigs(A,k,sigma)",error,"eigs expects 2 argument(s), but got 3."
eigs,sparfun,3,"d = eigs(A,k,sigma,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
eigs,sparfun,4,"d = eigs(A,k,sigma,opts)",unprobed,no sample for this form's arguments
eigs,sparfun,5,"d = eigs(A,B,___)",error,"eigs expects 2 argument(s), but got 3."
eigs,sparfun,6,"d = eigs(Afun,n,___)",error,"eigs expects 2 argument(s), but got 3."
eigs,sparfun,7,"[V,D] = eigs(___)",error,"eigs expects 2 argument(s), but got 1."
eigs,sparfun,8,"[V,D,flag] = eigs(___)",error,"eigs expects 2 argument(s), but got 1."
spalloc,sparfun,0,"S = spalloc(m,n,nz)",accepted,
sprand,sparfun,0,R = sprand(S),error,"sprand expects 3 argument(s), but got 1."
sprand,sparfun,1,"R = sprand(m,n,density)",error,sprand needs a density between 0 and 1.
sprand,sparfun,2,"R = sprand(m,n,density,rc)",error,"sprand expects 3 argument(s), but got 4."
spy,sparfun,0,spy(S),accepted,
spy,sparfun,1,"spy(S,LineSpec)",error,"spy expects 1 argument(s), but got 2."
spy,sparfun,2,"spy(___,MarkerSize)",error,"spy expects 1 argument(s), but got 2."
symamd,sparfun,0,p = symamd(S),unprobed,no sample for this form's arguments
symamd,sparfun,1,"p = symamd(S,knobs)",unprobed,no sample for this form's arguments
symamd,sparfun,2,"[p,stats] = symamd(...)",unprobed,no sample for this form's arguments
beta,specfun,0,"B = beta(Z,W)",accepted,
betaln,specfun,0,"L = betaln(Z,W)",unprobed,no sample for this form's arguments
cross,specfun,0,"C = cross(A,B)",unprobed,no sample for this form's arguments
cross,specfun,1,"C = cross(A,B,dim)",unprobed,no sample for this form's arguments
dot,specfun,0,"C = dot(A,B)",unprobed,no sample for this form's arguments
dot,specfun,1,"C = dot(A,B,dim)",unprobed,no sample for this form's arguments
factor,specfun,0,f = factor(n),accepted,
factorial,specfun,0,f = factorial(n),accepted,
gcd,specfun,0,"G = gcd(A,B)",unprobed,no sample for this form's arguments
gcd,specfun,1,"[G,U,V] = gcd(A,B)",unprobed,no sample for this form's arguments
isprime,specfun,0,TF = isprime(X),accepted,
lcm,specfun,0,"L = lcm(A,B)",unprobed,no sample for this form's arguments
nchoosek,specfun,0,"b = nchoosek(n,k)",accepted,
nchoosek,specfun,1,"C = nchoosek(v,k)",accepted,
perms,specfun,0,P = perms(v),accepted,
primes,specfun,0,p = primes(n),accepted,
base2dec,strfun,0,"D = base2dec(baseStr,n)",error,"base2dec expects a string or a cell of strings, but got a array."
blanks,strfun,0,chr = blanks(n),accepted,
cellstr,strfun,0,C = cellstr(A),accepted,
cellstr,strfun,1,"C = cellstr(A, dateFmt)",error,"cellstr expects 1 argument(s), but got 2."
compose,strfun,0,"str = compose(formatSpec,A)",accepted,
compose,strfun,1,"str = compose(formatSpec,A1,...,AN)",unprobed,no sample for this form's arguments
compose,strfun,2,str = compose(txt),error,"compose expects 2 argument(s), but got 1."
dec2base,strfun,0,"baseStr = dec2base(D,n)",accepted,
dec2base,strfun,1,"baseStr = dec2base(D,n,minDigits)",accepted,
dec2bin,strfun,0,binStr = dec2bin(D),accepted,
dec2bin,strfun,1,"binStr = dec2bin(D,minDigits)",accepted,
dec2hex,strfun,0,hexStr = dec2hex(D),accepted,
dec2hex,strfun,1,"hexStr = dec2hex(D,minDigits)",accepted,
erase,strfun,0,"newStr = erase(str,match)",accepted,
extractAfter,strfun,0,"newStr = extractAfter(str,pat)",accepted,
extractAfter,strfun,1,"newStr = extractAfter(str,pos)",error,"extractAfter expects argument 2 to be a number, but got a array."
extractBefore,strfun,0,"newStr = extractBefore(str,pat)",accepted,
extractBefore,strfun,1,"newStr = extractBefore(str,pos)",error,"extractBefore expects argument 2 to be a number, but got a array."
extractBetween,strfun,0,"newStr = extractBetween(str,startPat,endPat)",accepted,
extractBetween,strfun,1,"newStr = extractBetween(str,startPos,endPos)",error,"extractBetween expects argument 2 to be a number, but got a array."
extractBetween,strfun,2,"newStr = extractBetween(___,'Boundaries',bounds)",unprobed,no sample for this form's arguments
insertAfter,strfun,0,"newStr = insertAfter(str,pat,newText)",accepted,
insertAfter,strfun,1,"newStr = insertAfter(str,pos,newText)",error,"insertAfter expects argument 2 to be a number, but got a array."
insertBefore,strfun,0,"newStr = insertBefore(str,pat,newText)",accepted,
insertBefore,strfun,1,"newStr = insertBefore(str,pos,newText)",error,"insertBefore expects argument 2 to be a number, but got a array."
int2str,strfun,0,chr = int2str(N),accepted,
join,strfun,0,newStr = join(str),error,"join expects argument 1 to be an array, but got a string."
join,strfun,1,"newStr = join(str,delimiter)",error,"join expects argument 1 to be an array, but got a string."
join,strfun,2,"newStr = join(str,dim)",error,"join expects argument 2 to be a string, but got a number."
join,strfun,3,"newStr = join(str,delimiter,dim)",error,"join expects between 1 and 2 argument(s), but got 3."
mat2str,strfun,0,chr = mat2str(X),accepted,
mat2str,strfun,1,"chr = mat2str(X,n)",accepted,
mat2str,strfun,2,"chr = mat2str(___,'class')",error,"mat2str expects argument 2 to be a number, but got a string."
num2str,strfun,0,s = num2str(A),accepted,
num2str,strfun,1,"s = num2str(A,precision)",accepted,
num2str,strfun,2,"s = num2str(A,formatSpec)",accepted,
pad,strfun,0,newStr = pad(str),accepted,
pad,strfun,1,"newStr = pad(str,numberOfCharacters)",accepted,
pad,strfun,2,"newStr = pad(str,side)",accepted,
pad,strfun,3,"newStr = pad(str,numberOfCharacters,side)",accepted,
pad,strfun,4,"newStr = pad(___,padCharacter)",refused,"pad: ' ' is not a side — use 'left', 'right', or 'both'."
replace,strfun,0,"newStr = replace(str,old,new)",accepted,
reverse,strfun,0,newStr = reverse(str),accepted,
split,strfun,0,newStr = split(str),accepted,
split,strfun,1,"newStr = split(str,delimiter)",accepted,
split,strfun,2,"newStr = split(str,delimiter,dim)",error,"split expects between 1 and 2 argument(s), but got 3."
split,strfun,3,"[newStr,match] = split(___)",error,"This call returns 1 value(s), but 2 were asked for."
str2double,strfun,0,X = str2double(str),accepted,
str2num,strfun,0,X = str2num(chr),error,"str2num expects argument 1 to be a string, but got a array."
str2num,strfun,1,"[X,tf] = str2num(chr)",error,"str2num expects argument 1 to be a string, but got a array."
strcat,strfun,0,"s = strcat(s1,...,sN)",unprobed,no sample for this form's arguments
strip,strfun,0,newStr = strip(str),accepted,
strip,strfun,1,"newStr = strip(str,side)",accepted,
strip,strfun,2,"newStr = strip(___,stripCharacter)",refused,"strip: ' ' is not a side — use 'left', 'right', or 'both'."
strjoin,strfun,0,str = strjoin(C),accepted,
strjoin,strfun,1,"str = strjoin(C,delimiter)",accepted,
strsplit,strfun,0,C = strsplit(str),accepted,
strsplit,strfun,1,"C = strsplit(str,delimiter)",accepted,
strsplit,strfun,2,"C = strsplit(str,delimiter,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
strsplit,strfun,3,"[C,matches] = strsplit(___)",accepted,
addtodate,timefun,0,"R = addtodate(D, Q, F)",error,addtodate: The added or subtracted value results in an un-representable DateTime.
calendar,timefun,0,c = calendar,accepted,
