name,kind,form_index,syntax,verdict,detail
convertContainedStringsToChars,builtin,0,B = convertContainedStringsToChars(A),accepted,
convertContainedStringsToChars,builtin,1,"[B1,...,Bn] = convertContainedStringsToChars(A1,...,An)",unprobed,no sample for this form's arguments
convertStringsToChars,builtin,0,B = convertStringsToChars(A),accepted,
convertStringsToChars,builtin,1,"[B1,...,Bn] = convertStringsToChars(A1,...,An)",unprobed,no sample for this form's arguments
convhull,builtin,0,k = convhull(P),accepted,
convhull,builtin,1,"k = convhull(x,y)",accepted,
convhull,builtin,2,"k = convhull(x,y,z)",accepted,
convhull,builtin,3,"k = convhull(___,'Simplify',tf)",unprobed,no sample for this form's arguments
convhull,builtin,4,"[k,av] = convhull(___)",accepted,
cool,function,0,c = cool,accepted,
cool,function,1,c = cool(m),accepted,
copper,function,0,c = copper,accepted,
copper,function,1,c = copper(m),accepted,
copyfile,builtin,0,copyfile source,error,"copyfile expects between 2 and 3 argument(s), but got 1."
copyfile,builtin,1,copyfile source destination,error,copyfile: Could not find file 'E:\Temp_Folder\Appdata\Local\Temp\jgraph-forms-_azljwtu\source'.
copyfile,builtin,2,copyfile source destination f,error,copyfile: Could not find file 'E:\Temp_Folder\Appdata\Local\Temp\jgraph-forms-_azljwtu\source'.
copyfile,builtin,3,status = copyfile(___),error,"copyfile expects between 2 and 3 argument(s), but got 1."
copyfile,builtin,4,"[status,msg] = copyfile(___)",error,"copyfile expects between 2 and 3 argument(s), but got 1."
copyfile,builtin,5,"[status,msg,msgID] = copyfile(___)",error,"copyfile expects between 2 and 3 argument(s), but got 1."
copygraphics,function,0,copygraphics(obj),accepted,
copygraphics,function,1,"copygraphics(obj,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
copyobj,builtin,0,"new_handle = copyobj(h,p)",unprobed,no sample for this form's arguments
copyobj,builtin,1,"copyobj(___,'legacy')",unprobed,no sample for this form's arguments
cosd,builtin,0,Y = cosd(X),accepted,
cosh,builtin,0,Y = cosh(X),accepted,
count,builtin,0,"A = count(str,pat)",accepted,
count,builtin,1,"A = count(str,pat,'IgnoreCase',true)",unprobed,no sample for this form's arguments
cputime,builtin,0,t = cputime,accepted,
ctranspose,builtin,0,B = A',unprobed,no sample for this form's arguments
ctranspose,builtin,1,B = ctranspose(A),accepted,
cummax,builtin,0,M = cummax(A),accepted,
cummax,builtin,1,"M = cummax(A,dim)",accepted,
cummax,builtin,2,"M = cummax(___,direction)",accepted,
cummax,builtin,3,"M = cummax(___,nanflag)",accepted,
cummin,builtin,0,M = cummin(A),accepted,
cummin,builtin,1,"M = cummin(A,dim)",accepted,
cummin,builtin,2,"M = cummin(___,direction)",accepted,
cummin,builtin,3,"M = cummin(___,nanflag)",accepted,
cumprod,builtin,0,B = cumprod(A),accepted,
cumprod,builtin,1,"B = cumprod(A,dim)",accepted,
cumprod,builtin,2,"B = cumprod(___,direction)",accepted,
cumprod,builtin,3,"B = cumprod(___,nanflag)",accepted,
cumsum,builtin,0,B = cumsum(A),accepted,
cumsum,builtin,1,"B = cumsum(A,dim)",accepted,
cumsum,builtin,2,"B = cumsum(___,direction)",accepted,
cumsum,builtin,3,"B = cumsum(___,nanflag)",accepted,
curl,function,0,"[curlx,curly,curlz,cav] = curl(X,Y,Z,Fx,Fy,Fz)",error,"curl: the grid does not match the volume — it wants 1 positions along y, but was given 27."
curl,function,1,"[curlx,curly,curlz,cav] = curl(Fx,Fy,Fz)",accepted,
curl,function,2,"[curlz,cav] = curl(X,Y,Fx,Fy)",error,"curl expects argument 3 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
curl,function,3,"[curlz,cav] = curl(Fx,Fy)",error,"curl expects argument 1 to be a matrix; build one with meshgrid, zeros(r, c), or a semicolon-rowed literal."
curl,function,4,cav = curl(___),error,"curl: the grid does not match the volume — it wants 1 positions along y, but was given 27."
cylinder,function,0,"[X,Y,Z] = cylinder",accepted,
cylinder,function,1,"[X,Y,Z] = cylinder(r)",accepted,
cylinder,function,2,"[X,Y,Z] = cylinder(r,n)",accepted,
cylinder,function,3,cylinder(___),accepted,
cylinder,function,4,"cylinder(ax,___)",accepted,
daspect,function,0,daspect(ratio),accepted,
daspect,function,1,d = daspect,accepted,
daspect,function,2,daspect auto,accepted,
daspect,function,3,daspect manual,accepted,
daspect,function,4,m = daspect('mode'),error,"daspect: expected 'auto' or 'manual', got 'mode'."
daspect,function,5,"___ = daspect(ax,___)",accepted,
datacursormode,function,0,datacursormode on,accepted,
datacursormode,function,1,datacursormode off,accepted,
datacursormode,function,2,datacursormode,accepted,
datacursormode,function,3,"datacursormode(fig,___)",accepted,
datacursormode,function,4,dcm = datacursormode,accepted,
datacursormode,function,5,dcm = datacursormode(fig),accepted,
deblank,builtin,0,newStr = deblank(str),accepted,
delaunay,builtin,0,DT = delaunay(P),accepted,
delaunay,builtin,1,"DT = delaunay(x,y)",accepted,
